akd,nama,jabatan
Badan Anggaran,"Acep Jamaludin, S.Hum",Ketua
Badan Anggaran,Andhika Surya Gumilar,Anggota
Badan Anggaran,Asep Suherman,Anggota
Badan Anggaran,"Bambang Mujiarto, S.T",Anggota
Badan Anggaran,"Bayu Satya Prawira, S.H",Anggota
Badan Anggaran,Dede Kusdinar,Anggota
Badan Anggaran,"Doni Maradona Hutabarat, S.H",Anggota
Badan Anggaran,"Dr. Buky Wibawa, M.Si",Ketua
Badan Anggaran,"Dr. Farabi El Fouz A. Rafiq, Sp.A, M.Kes",Anggota
Badan Anggaran,"Dr. Hj. Cucu Sugiarti, S.I.P., M.Pd",Anggota
Badan Anggaran,"Dr. Hj. Ineu Purwadewi Sundari, S.Sos., M.M",Anggota
Badan Anggaran,"Dra. Hj. Euis Ida Wartiah, M.Si",Anggota
Badan Anggaran,Drs. H. Daddy Rohanady,Anggota
Badan Anggaran,Drs. K. H. Tetep Abdulatip,Anggota
Badan Anggaran,"Fetty Anggraenidini, S.H., M.H",Anggota
Badan Anggaran,"George Edwin Sugiharto, S.I.P",Anggota
Badan Anggaran,"H. Ahab Sihabudin, S.H.I",Anggota
Badan Anggaran,"H. Akhmad Marjuki, S.M., M.M",Anggota
Badan Anggaran,"H. Didi Sukardi, S.E",Anggota
Badan Anggaran,"H. Fikri Hudi Oktiarwan, S.Sos",Anggota
Badan Anggaran,"H. Iwan Suryawan, S.Sos",Ketua
Badan Anggaran,"H. Jajang Rohana, S. Pd.I",Anggota
Badan Anggaran,H. Memo Hermawan,Anggota
Badan Anggaran,"H. Pradi Supriatna, S.Kom., M.M.S.I",Anggota
Badan Anggaran,"H. R.K. Dadan Surya Negara, S.P",Anggota
Badan Anggaran,"H. Rahmat Hidayat Djati, M.Ip",Anggota
Badan Anggaran,"H. Ricky Kurniawan, Lc",Anggota
Badan Anggaran,"H. Taufik Hidayat, S.H., M.H",Anggota
Badan Anggaran,H. Yod Mintaraga,Anggota
Badan Anggaran,"H. Yomanius Untung, S.Pd",Anggota
Badan Anggaran,"Hasim Adnan, S.Ag",Anggota
Badan Anggaran,"Hilal Hilmawan, S.I.P., M.I.P",Anggota
Badan Anggaran,"Hj. Nia Purnakania, S.H., M.Kn",Anggota
Badan Anggaran,Hj. Siti Muntamah S. A. P,Anggota
Badan Anggaran,Humaira Zahrotun Noor,Anggota
Badan Anggaran,Ir. H. Yusuf Maulana,Anggota
Badan Anggaran,Ir. M.Q. Iswara,Ketua
Badan Anggaran,"Ir. Prasetyawati, M.M",Anggota
Badan Anggaran,"M. Faizin, S.E",Anggota
Badan Anggaran,Muhamad Rochadi,Anggota
Badan Anggaran,"Muhammad Jaenudin, S.Ag , M.H",Anggota
Badan Anggaran,"Ono Surono., S.T",Ketua
Badan Anggaran,"Phinera Wijaya, S.E",Anggota
Badan Anggaran,"Rafael Situmorang, S.H",Anggota
Badan Anggaran,Rizaldy D. Priambodo,Anggota
Badan Anggaran,"Samsul Hidayat, S.H",Anggota
Badan Kehormatan,"Budi Mahmud Saputra, S.E",Anggota
Badan Kehormatan,"Diah Fitri Maryani, S.E., M.M",Anggota
Badan Kehormatan,"Dr. Buky Wibawa, M.Si",Anggota
Badan Kehormatan,Dr. H. Encep Sugiana,Anggota
Badan Kehormatan,H. Aten Munajat,Anggota
Badan Kehormatan,"H. Taufik Hidayat, S.H., M.H",Anggota
Badan Kehormatan,"H. Zulkifly Chaniago, B.E",Anggota
Badan Kehormatan,"Hasim Adnan, S.Ag",Wakil Ketua
Badan Kehormatan,"Oden Haryadi, SH, MH",Anggota
Badan Kehormatan,"Sabil Akbar, M.I.P",Ketua
Badan Musyawarah,"Abdul Karim, S.H",Anggota
Badan Musyawarah,"Acep Jamaludin, S.Hum",Ketua
Badan Musyawarah,"Dr. Buky Wibawa, M.Si",Ketua
Badan Musyawarah,Dra. Hj. Lina Ruslinawati,Anggota
Badan Musyawarah,"H. Heri Ukasah Sulaeman, Sp.D., M.H",Anggota
Badan Musyawarah,"H. Iwan Suryawan, S.Sos",Ketua
Badan Musyawarah,Ir. M.Q. Iswara,Ketua
Badan Musyawarah,"Ir. Prasetyawati, M.M",Anggota
Badan Musyawarah,"Irpan Haeroni, S.M",Anggota
Badan Musyawarah,"Maula Akbar Mulyadi Putra, S.I.Pol",Anggota
Badan Musyawarah,"Ono Surono., S.T",Ketua
Badan Musyawarah,Rizaldy D. Priambodo,Anggota
Bapemperda,"Ade Puspitasari, S.Sos., M.B.A",Anggota
Bapemperda,"Agung Yansusan, S.Ag., S.T. MUD",Anggota
Bapemperda,"Ahmad Faisyal Hermawan, S.E., M.M",Anggota
Bapemperda,"Arip Rachman, S.E., M.M",Anggota
Bapemperda,"Asep Syamsudin, S.Ag",Anggota
